ED/ES,Vendor,Centre,Dice LV,Jaccard LV,Hausdorff LV,ASSD LV,Dice MYO,Jaccard MYO,Hausdorff MYO,ASSD MYO,Dice RV,Jaccard RV,Hausdorff RV,ASSD RV
ED,B,3,0.9641764665896267,0.9308308176926106,2.96875,0.2608663694057691,0.8044172432144758,0.6728243935010015,5.3519901745168585,0.5355544637652856,0.9347304633253376,0.8774591135340128,11.724217474553473,0.5891278396276027
ES,B,2,0.9086579350229632,0.8326059850374065,20.0,0.7065357595298618,0.8350352668701969,0.7167901680824146,22.029229017482468,1.404758413563466,0.8189903217368558,0.6934662236987819,20.650294320504422,1.3118829218354278
ES,A,1,0.8844590671569577,0.7928521859819571,6.521865112081104,0.643385477763526,0.8024865118461177,0.6701273261508325,9.59999942779541,0.9326777750524716,0.9006839131727624,0.8193129564511766,8.750000238418579,0.4460146308640053
ED,A,6,0.9716892694206613,0.94493740123982,10.0,0.2323127866732453,0.8415276066748796,0.7264114462490333,13.424687193705749,0.5457983998300135,0.9478043044834108,0.9007870955203576,11.836854021420708,0.5745738455395322
ED,B,2,0.980957188087918,0.9626260806916428,2.3648648262023926,0.11197271977522236,0.8534767430889707,0.7444042132982225,11.062112934916058,0.3762598004558419,0.9535898064199952,0.91129636568003,5.912162065505981,0.20436256407068176
ED,B,2,0.9758855313187912,0.9529066927210552,2.643999254493388,0.13344324161783774,0.8614673783159404,0.7566470752868738,11.312070024139985,0.3463149670438291,0.9614186635657628,0.9257037747920666,6.6888478207890305,0.16315128189321662
ES,C,4,0.7362134182759307,0.5825456836798992,22.732849454463853,5.259466625138102,0.7457698815566836,0.5946037099494098,20.703737460118827,3.445009130013996,0.8826593897295957,0.7899644760213144,13.276872622162635,0.4947058088443185
ED,A,1,0.8712605042016807,0.7718880285884455,14.896002781324365,2.9557911386181384,0.7663014572917775,0.6211415761338162,12.403037514936981,1.3173317768679291,0.9355474247115114,0.878900052882073,13.312754714710007,0.6784942523082392
ES,D,5,0.6036143950835894,0.4322691332239296,40.252332193360594,9.503670149517927,0.5605258215962441,0.3893962323227052,43.4066386430008,8.493718503004361,0.7012446212927405,0.5399358745992162,45.90086050756831,5.124491560723032
ED,B,2,0.9415402567094516,0.8895380884136258,10.0,1.1759693266008902,0.8117139447351509,0.6830964153275649,26.528459448230013,1.610314262962306,0.8882260336399039,0.7989268147264869,13.714596479734702,0.9439143199476636
ED,D,5,0.65314167082753,0.4849371731834855,30.0,6.3750088758791605,0.4732831038364943,0.3100005672471496,35.595445743586275,4.481458442665146,0.5054135434685118,0.33816280166316603,30.262526461668077,7.008040839116029
ED,C,4,0.7833072100313481,0.6438003220611916,31.207723557968357,2.9574341354709794,0.6547177057995135,0.4866768176627331,30.72570372206084,3.8965673586235137,0.5023948908994146,0.3354655294953802,42.99987338434413,6.9024599409125456
ES,A,1,0.8875572788156504,0.7978453738910013,9.916666388511658,1.1461108379014848,0.7326318171532021,0.5780733863047942,10.109140862779011,1.0809410252459115,0.9208392942298522,0.8532920901458241,14.166666269302368,0.3501252341270466
ED,A,1,0.7720649807402445,0.6287506819421713,28.083512298587273,3.9748902326101816,0.5563126642655505,0.3853415143955229,31.094037701833248,4.562405409879993,0.6780166933834504,0.5128784077604951,51.80637484468818,5.268176238837047
ED,D,5,0.8652809019214612,0.7625507523286362,17.080109927772234,3.6969980710895953,0.5452905630881161,0.3748450028932793,28.661093613491673,2.6748138443101777,0.7293438021235914,0.5739898828200038,33.06070433928815,3.3803871899661733
ES,D,5,0.3133793103448276,0.18580307491004253,30.05268875141305,7.7828388391204735,0.18238266268947464,0.10034161698707214,50.90932073607957,10.634747471848256,0.5049694856146469,0.337765337065547,32.99364260940274,4.532246756526204
ES,B,3,0.9156035328753679,0.8443438914027149,10.0,0.6539234567263266,0.8549548169704396,0.7466559657570894,13.22552660450136,1.0547386213325984,0.8860185814638568,0.7953620829943043,15.805983810325316,0.9535484136146472
ED,D,5,0.6591571178869683,0.4915990730011587,19.74415578494725,3.299441976652815,0.4276525649741149,0.2719835040574697,20.638450313564913,3.4012718896064884,0.3222489959839357,0.19207200306396016,30.04215839242549,7.809895168382207
ED,B,3,0.9531306550850523,0.910458081244598,21.833283516913873,0.7117527615899903,0.7186440677966102,0.5608465608465608,17.066745286894715,1.2134448761560963,0.9375589886245096,0.8824574527772583,11.854437392514065,0.813074549486093
ES,C,4,0.9061032863849764,0.8283261802575107,11.046919192099171,0.8328364039276902,0.8765511799727422,0.7802324096539395,11.046919192099171,0.8599962429833272,0.826271186440678,0.703971119133574,12.240680655999336,1.0094859027600325
ES,D,5,0.7638896546654169,0.6179785304350411,38.842927936398404,3.3833518123716937,0.43815958815958816,0.28054056281158585,37.2970307041453,4.547364295213484,0.3744420131291029,0.23034675856127504,60.094848071973665,10.804190110359096
ES,A,6,0.6969072164948453,0.5348101265822784,11.514785252604327,3.7216561041776464,0.7374025974025974,0.5840362065418638,14.151953321399098,3.439206780453332,0.7436694802310084,0.5919377652050919,32.56446610183705,3.2018818639157542
ED,C,4,0.9689217108444328,0.9397169167803548,5.912162065505981,0.21390228406731526,0.8530586504099222,0.7437683284457478,11.312070024139985,0.5541177103381006,0.9409514220991694,0.8884874988116741,11.616955723803375,0.3141311091045507
ES,D,5,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
ED,D,5,0.7204869513420945,0.5630946492478687,26.443644640621237,6.505609302286104,0.5643813624256577,0.3931276368627053,19.887499511241916,3.4139041074952425,0.6750529868906507,0.5094943271025268,34.05078985496708,5.384506775045159
ED,B,3,0.95079883805374,0.9062121474303512,10.0,0.4547868382767938,0.8092739888305974,0.6796475270039796,14.420994691442926,0.7201987298829435,0.951575456053068,0.9076241695665928,10.845596089685912,0.37497804952885017
ED,B,2,0.9145349776509236,0.8425282794205201,10.069664662318816,2.3461511632262355,0.8188552188552188,0.6932725199543901,13.765223221559046,0.8578065418074658,0.8036324786324787,0.6717270941239507,12.030822298150456,3.090254775459337
ES,B,2,0.2762520193861066,0.16026241799437674,31.084550771704727,12.129292986151727,0.3559503424657534,0.21650826715271448,44.90710000258969,9.77532365347317,0.4944335297969876,0.3284036537625054,34.44735134038937,5.565793984747658
ED,B,3,0.9528543235143628,0.9099539299176322,5.2696517649515515,0.3695908183062612,0.7828773168578994,0.6432197244379986,10.106240378802736,0.6855830035846724,0.9513513513513514,0.9072164948453608,10.520478742467676,0.3702922226799644
