ED/ES,Vendor,Centre,Dice LV,Jaccard LV,Hausdorff LV,ASSD LV,Dice MYO,Jaccard MYO,Hausdorff MYO,ASSD MYO,Dice RV,Jaccard RV,Hausdorff RV,ASSD RV
ES,A,1,0.8338303063160748,0.7150162715016272,8.975800986927775,2.059450857647803,0.8218085106382979,0.6975169300225733,12.597222049203296,1.4745214113185274,0.8079343073477658,0.6777598854893541,19.144255100602212,1.6079142867609262
ES,C,4,0.6582100070472163,0.4905462184873949,13.225622014369199,2.554355055810669,0.8074245939675174,0.6770428015564203,24.227278114457818,2.0859362167323594,0.7762605042016807,0.6343347639484979,11.34216756137516,1.3427746577730728
ES,C,4,0.9338413578108764,0.8758934372969459,7.568982868783742,0.3375011979871092,0.9193950177935944,0.8508150831549481,10.0,0.3971929187533042,0.8375796178343949,0.7205479452054795,11.59353099196784,1.1188314546979494
ED,C,4,0.9579215333932316,0.9192412702974564,4.694085141510397,0.22889033733188785,0.8989224465017454,0.8164024810475534,10.845623565181203,0.331282158128154,0.9531404549950544,0.9104759655131688,4.694085141510397,0.21463550101955284
ES,A,6,0.9429377305272292,0.8920361247947455,10.671873623556358,0.4158156433339501,0.8543347513569018,0.7457106274007682,11.303883088432562,0.7461955011798196,0.9097801364670204,0.8344923504867872,20.069324284787434,0.7463266274142519
ED,C,4,0.9082974876878,0.8320009136592051,10.0,2.6273609513229914,0.8571629213483146,0.7500307238540003,13.796419951601687,1.0616312342750729,0.8812166050143855,0.7876561351947098,12.541510928086616,1.7931296337201603
ES,C,4,0.9356823266219241,0.8791382028376248,3.319219328405044,0.3312871909116765,0.8656395557147976,0.7631080227416298,6.638436737577548,0.5198699941408835,0.8621084797555386,0.7576367908694193,7.993736144011523,0.7468118852523018
ES,A,6,0.8961364776718515,0.8118181818181818,20.0,0.833361733632128,0.8710886265692337,0.7716182572614108,22.38861317723811,1.2674695116108303,0.7153069806560135,0.5567921440261866,24.315632831575645,2.214376926300172
ED,D,5,0.9396264792899408,0.8861278228267504,10.096000432968141,0.3918068109831124,0.8593027484802827,0.7533135959918014,10.0,0.3743718232025406,0.3344174323115701,0.2007810593116915,82.38674914908923,7.243712407516629
ES,B,3,0.9535202980976664,0.9111694152923538,4.1911765336990365,0.2077506834505351,0.9075930248523959,0.8308195072900956,7.523392123254674,0.3132285291926961,0.9561928774030886,0.9160628019323672,3.951479130838022,0.14791043904353834
ED,D,5,0.9522975020049308,0.908938848410966,10.0,0.5831007052496177,0.7830074553383035,0.6433954413056544,11.473491663167398,0.7689222444854097,0.8052173913043478,0.6739446870451238,20.156512246551763,2.7383581112065327
ED,C,4,0.968547886949588,0.9390139151348564,2.0992596715246763,0.2353517440410724,0.8595266990291263,0.7536578877361,5.937602996826173,0.3884207575845383,0.8595982812031578,0.7537679635471434,15.093039584066785,2.577532613996006
ED,C,4,0.9595770083574962,0.9222950819672132,3.319219381716997,0.13170504028892072,0.9006499535747446,0.8192567567567568,16.75357764135883,0.4972115002949841,0.7418825844539193,0.5896767466110532,27.432662169882537,4.080987821093536
ES,D,5,0.7261648745519713,0.5700619020821609,13.311801786387678,1.853617637344992,0.8094746106455439,0.6799305734121882,12.77818576217464,1.2663398119636728,0.7636989403133774,0.6177289377289378,15.730451902975323,1.2681445413439776
ED,A,1,0.8967402173188455,0.812809667673716,15.513667186424891,3.0564196768718124,0.8259296327661868,0.7034754098360656,15.383757047855394,1.3154203486951972,0.9390072252979262,0.8850269744406121,9.703964826066203,0.544965782638906
ES,B,3,0.9498584041312677,0.904505076142132,10.0,0.3709342403305951,0.9128641745377144,0.8396965247185512,8.522160301288446,0.3642429514528741,0.9412134548884,0.8889548693586699,10.106240378802736,0.2371892712105517
