ED/ES,Vendor,Centre,Dice LV,Jaccard LV,Hausdorff LV,ASSD LV,Dice RV,Jaccard RV,Hausdorff RV,ASSD RV,Dice MYO,Jaccard MYO,Hausdorff MYO,ASSD MYO
ES,D,5,0.7939565627950897,0.658315064202944,10.613972201546627,0.916034249556556,0.7859176805591509,0.6473347547974414,10.761993564037562,0.9748677050701654,0.8392176422387687,0.7229758762506906,10.965867431350324,1.162638902591378
ES,A,1,0.9303596807696513,0.8697874080130826,11.930365276078778,0.2783972618929217,0.9687364777152748,0.9393685093884402,4.2499998807907104,0.16102893503118387,0.9075796774371112,0.8307971379623098,6.335525758542688,0.22561348530155784
ED,A,1,0.9360239162929744,0.8797415004214667,10.215728327271165,0.4411373509065469,0.977829067002378,0.9566199110502908,5.666666507720947,0.1283980973229614,0.8983504010492862,0.8154592911438776,8.959786452495157,0.2652154824241653
ED,A,6,0.9079510252249594,0.8314196947183574,10.274023306051127,1.57673595065045,0.9669583854259688,0.9360304287690179,4.714044926931329,0.29526878309457383,0.8402625820568927,0.7245283018867924,8.97527437602385,0.5569796725049485
ES,D,5,0.7677510608203677,0.6230486685032139,22.232638453755776,1.6192788146451322,0.8189589105700642,0.6934211839872217,12.401198272994108,2.276843789211485,0.8331896066889131,0.7140745501285347,12.50283965672174,1.4528844847793223
ED,B,3,0.9728250957505016,0.9470880681818182,5.3519901745168585,0.13642798293779995,0.974671669793621,0.9505946935041172,2.96875,0.17616519399861374,0.8803429580128609,0.7862612612612613,4.694005901812439,0.3339767479657945
ES,B,3,0.9637077769049488,0.9299575500303214,3.951479130838022,0.12222508445461305,0.9508386350491612,0.906284454244763,4.1911765336990365,0.22593108706223786,0.9112001104819776,0.836884830035515,5.760221181350407,0.2963640042658331
ES,A,6,0.9124694376528116,0.8390287769784173,10.222524150130436,0.4529279700450681,0.9298618490967056,0.8689175769612711,8.48528137423857,0.40941580837084,0.8942455394068297,0.8087198119256251,9.124143795447331,0.4219222810994163
ED,B,3,0.977058681477904,0.9551463644948064,4.4531253576278695,0.11194130145302914,0.9662402274342572,0.9346854589205912,10.0,0.33532158593503264,0.8565703790282184,0.7491238317757009,15.524677935467775,0.6082178727635317
ES,D,5,0.8588695343050124,0.7526479750778816,10.341499745845796,0.4764224767834083,0.7965803041179925,0.6619305856832972,10.761993674183268,3.5642146040702007,0.8739613066920393,0.7761378999549347,10.125773118873726,0.8478771346707269
ES,B,2,0.9457096380642538,0.8970106075216973,3.7391796046089016,0.1335913942810493,0.9312387329384496,0.8713253012048193,4.729729652404785,0.3024021602546493,0.916256157635468,0.8454545454545455,12.54288654471709,0.3194247475514629
ED,C,4,0.9181099714141584,0.8486167236555797,11.04691898385965,1.2225679059689698,0.9817198283902258,0.9640959882762412,2.0992583228255848,0.13245437001938098,0.9013324873096448,0.8203869477331793,4.1985166456511696,0.2541711881599162
ED,C,4,0.9468000245443948,0.8989745979958051,5.352080700211796,0.2652723612682903,0.9626050107798676,0.9279059767808514,5.937600135803223,0.19378444506749068,0.8987829767934085,0.8161724327292696,10.536470952611902,0.3133644644098811
ED,A,6,0.885188770571152,0.7940257033692254,20.0,2.3698117270721744,0.970919694223343,0.9434829223464544,5.4083269131959835,0.18299106564721615,0.8538067437150006,0.7449064449064449,10.816653826391967,0.4356018463147541
ED,D,5,0.8128193896919258,0.68466363300947,12.401198272994108,1.866853958572592,0.8991230976520221,0.8167335473515249,10.403204450823825,1.6989708434989208,0.8214446306667211,0.6969928202282266,16.819186759792547,0.9231020861235312
ED,D,5,0.32212962597258976,0.19198719457652647,84.45368727439705,12.598039968438576,0.9418872133280666,0.890157670516931,11.105600476264954,0.3931037980875757,0.8497322376051923,0.7387255953658013,10.0,0.4271798779737303
ES,C,4,0.8053086858632541,0.6740726046419361,12.735186835695382,1.2274114956192317,0.9398255813953488,0.8864820400329038,3.344423910394516,0.28006589287700506,0.8993179457066715,0.8170551543007223,13.034850232266418,0.9351853970436608
ED,A,1,0.9534837557070072,0.9111026808295396,4.124789669313123,0.2353211532890012,0.9787361935532346,0.9583578575632724,4.124789669313123,0.1171137443429198,0.9077433628318584,0.8310715009114847,6.012862534529918,0.26260412745742434
ES,A,6,0.6962761830876648,0.5340672418922939,25.0,3.18875045304885,0.7876712328767124,0.6497175141242938,11.757976016304848,2.8758856306506986,0.8608431116905693,0.7556844193499158,12.5,1.117074722407693
ED,B,3,0.9595003603170792,0.9221534767753256,10.752403792708328,0.6338993072419932,0.978127196064652,0.9571907504513024,3.1239185450176605,0.1755828887513902,0.8711680630852636,0.7717429269996507,3.951479130838022,0.3535315284561146
ED,A,6,0.8851941142239588,0.7940343027591351,24.08318915758459,1.8251544767067165,0.9664452686966272,0.9350692705725254,7.648529270389178,0.2522334451494386,0.8955898241823004,0.8109213802917111,7.648529270389178,0.3598821605569801
ED,C,4,0.9535941765241128,0.9113043478260868,8.608237904023847,0.1750695290914845,0.9680972944390588,0.9381672217952004,5.912162065505981,0.21350668437204595,0.9047976011994004,0.8261464750171116,11.062112934916058,0.3521077036773046
ED,A,1,0.9510652153688716,0.9066962305986696,8.260514952662964,0.3080516261690159,0.8948740225890529,0.809748427672956,15.89702914265127,3.138237364796763,0.8372304889158821,0.7200313397753982,16.209573011698772,1.371078866797696
ED,C,4,0.9114579480730824,0.8373199238923621,10.0,0.7491918386700349,0.964120963608406,0.9307273626917368,34.270038710745766,0.2954454594218392,0.8929457150730229,0.8065961418792782,17.207745334832584,0.5582807724198093
ED,C,4,0.8706329285665829,0.7709034118212398,14.112225929978486,1.9343302449900444,0.9449927780452576,0.8957216200798631,7.421999716759174,0.5464730344449955,0.8752520500067213,0.7781761682801482,13.441809807024903,0.6097744206822221
ES,D,5,0.4711408327362471,0.30816496563215995,40.500427433215435,6.410268442853187,0.973764877491914,0.9488711272247856,6.0583477403211035,0.16077560122897278,0.8217256436093494,0.6973975451069824,9.545999765396116,0.4986365228809977
ES,D,5,0.931029935381775,0.8709597828768814,6.559449001672992,0.2682659263494395,0.921937321937322,0.8551797040169133,6.363600254058838,0.455299375009222,0.8960365221000207,0.8116541353383459,10.0,0.4422129295131946
ES,C,4,0.8980542614414908,0.8149714001492167,7.56898590803621,0.4646953307193076,0.8941621167576649,0.8085833649829093,5.352081030838878,0.3926409690259772,0.9161907291805022,0.845343137254902,10.0,0.3834447270526053
ES,A,1,0.7226617031177291,0.5657559198542805,20.06090734131768,3.1056429835573205,0.9074050870818192,0.8305045871559633,6.25,0.3826585180067644,0.8463850656541686,0.7336807460230389,10.121264908939674,0.892911897413609
ED,C,4,0.9299245341136608,0.8690270581462292,10.0,0.4614201229083943,0.8757800696314787,0.7790113357485101,20.10987037670005,3.0955329650056376,0.8315288003464704,0.7116382505559674,26.782374867440552,1.7868601565990423
ES,A,6,0.917512130569034,0.8475957620211899,10.0,0.4448933902623725,0.9411262798634812,0.8887993553585818,5.2704623020140895,0.3888146007820886,0.8514342800057085,0.7413021868787276,4.9999998807907104,0.6606150977763248
ED,B,2,0.9613623878410548,0.9255994358251056,4.729729652404785,0.135984498555351,0.9752985607839134,0.9517880266958859,8.277026891708374,0.1598553917184799,0.8986349114144642,0.8159282700421941,10.870874083999876,0.24072520705203
ED,B,2,0.95157105794177,0.9076161671707452,3.344423910394516,0.2043549164709663,0.984674155259448,0.9698109827107408,2.3648648262023926,0.08720213751952807,0.9015025041736228,0.8206686930091185,4.729729652404785,0.209641599098822
ES,A,1,0.7933501683501684,0.6574816881757936,70.37103997101055,3.2186270589358266,0.8682022625051111,0.7671001926782274,51.50866812042928,2.9228433138640426,0.8029065793733587,0.6707133842178016,60.68994846484488,4.2279614719698015
ES,A,6,0.9017930281241467,0.8211503397977788,10.0,1.5067778901270266,0.8622895183396423,0.757916475447453,11.070794963889822,3.3129915631979374,0.8597071327350023,0.7539353769676885,12.253117619835756,1.0948326249908136
ED,D,5,0.5378903274942879,0.3678864435473369,28.02373802986553,4.231456569373865,0.9679474912931992,0.9378858954628893,6.2130536552806594,0.21114522300811547,0.8058972974054291,0.6748978087515916,14.385639262588526,0.5440562068347278
ES,B,2,0.8682926829268293,0.7672413793103449,13.378242851027187,0.5567292060544241,0.9438775510204082,0.8937198067632851,3.697183012962341,0.24017467748682256,0.8652188328912467,0.76245434623813,11.746058704393064,0.8097532892267185
ES,C,4,0.79296,0.6569459172852599,14.112227735604932,1.391873041250459,0.8948917748917748,0.8097774992165465,6.297776485763117,0.5925048128516641,0.9104515798899834,0.8356228719032524,12.45335679114442,0.6409837386083043
ES,B,3,0.9410842995926042,0.8887244746966558,10.106240378802736,0.2414470685438365,0.9579609400860642,0.9193138500635324,3.2680992902165986,0.2449990700031205,0.9128956317028512,0.8397497593840231,4.3846153020858765,0.36135135223202297
ED,C,4,0.92803738317757,0.8657367044463818,7.568981746598216,0.3176204935972986,0.9702333065164924,0.9421875,2.9687993526458736,0.1827451752649895,0.9100758396533044,0.8349900596421471,4.198515971301485,0.2852414391045039
ES,C,4,0.6146072576940744,0.4436339522546419,17.774629648961156,3.3275751003910696,0.6535859269282814,0.485427135678392,13.225622014369199,2.420335347999928,0.8040027605244997,0.6722446624350836,20.04673923930428,2.045338790582416
ES,A,1,0.9197608121262688,0.8514418125643667,8.503471745017274,0.36073487826306894,0.9598609904430928,0.9228199131306382,3.260932556040552,0.17063891437600293,0.9208501760333812,0.8533107781536975,3.260932556040552,0.2409723928424329
ES,C,4,0.8085317460317459,0.6786011656952541,14.902024284428336,0.8660328293648598,0.8805078416728902,0.7865243495663776,10.0,0.6654346274237486,0.8904169395328531,0.8024788510722014,12.689961068461168,0.8052597423470295
ED,D,5,0.8623445382348534,0.7580014927338983,13.188786002022164,2.2636154097831294,0.9623165183553176,0.9273699884189048,3.2864601199685097,0.16719997039142726,0.8414143983719156,0.726242754259617,5.764832406702245,0.29827497687374205
ES,B,2,0.8358627726055351,0.7180105170902716,20.650294320504422,1.1020579698143371,0.9101142759679344,0.8350547730829421,3.7391796046089016,0.3701281198308292,0.8702317290552585,0.7702745345534869,3.7391796046089016,0.4628729060849767
ED,A,1,0.8961636076065767,0.8118627124291903,12.472570038165095,1.1475121995536384,0.9542363213549208,0.912477972644122,18.181446679429378,0.395528214024197,0.8846817531923286,0.7932101494120768,12.963988713236894,0.3759491959508414
ES,D,5,0.8076840829709887,0.6774077838225623,12.401198272994108,2.1656751810870216,0.9480304285606688,0.9011956755208708,3.5575840647704613,0.2299132549644412,0.877379679144385,0.7815462296956128,5.0936852056946815,0.4218028622520793
ES,D,5,0.5272279195484538,0.3579833747166145,20.192000865936283,3.757668881728172,0.6836436655713765,0.519345444459853,20.328571007735,4.503356025062313,0.617004132768435,0.4461359194106149,32.05326084703577,6.311259181820158
ES,D,5,0.8460007109847139,0.7331033208058653,11.578606349397088,1.65993400686923,0.8827105310209191,0.7900464074251881,11.139754808391842,2.5961937305154303,0.82341230340434,0.6998307952622673,111.6666088609976,1.5493192267606326
ES,B,2,0.8986521513737687,0.8159566956931043,5.912162065505981,0.2709433257973428,0.8368355995055624,0.7194473963868225,10.870874083999876,2.5467539793805862,0.8735330664089466,0.7754626792499081,10.676210194424009,1.034639169043106
ES,B,3,0.9521980367050791,0.9087576374745416,6.1202353756262085,0.18841571465310208,0.9257641921397379,0.8617886178861789,5.351990306767696,0.3736529387998652,0.9099512874043144,0.8347803881511746,5.937500476837157,0.3470906643370601
ED,C,4,0.8690524603497357,0.7684286227975549,14.648521098757278,2.2317582483367824,0.975513851653262,0.9521981856245638,2.9688014984130864,0.18911474017452484,0.8714411505723509,0.7721716514954486,4.198519343049353,0.35383228078791906
ED,B,3,0.9777927775902802,0.9565504490227152,3.2680992902165986,0.10455404280260006,0.9801691662520436,0.9611095623083356,2.0669274753328173,0.14445749041879052,0.8841328413284133,0.7923280423280423,4.133854950665635,0.3458094025340119
ES,A,6,0.5225806451612903,0.3537117903930131,15.011569821768266,3.0647115276622205,0.7414750198255353,0.5891619407687461,12.046783897164275,3.0165158715147946,0.8355508249068654,0.7175502742230347,11.942280255240204,1.4756687558875938
ED,A,6,0.9372738238841978,0.8819523269012486,11.836854021420708,0.6399695833471644,0.9712354025814384,0.9440793404229896,10.0,0.2525853505098261,0.8546186535450682,0.7461433313805897,13.610147515343106,0.4970277759284505
ED,D,5,0.8370261292421493,0.7197290930506478,17.37398302731961,0.8140413371294011,0.9518254642105652,0.9080791716559836,10.0,0.6583906442051708,0.7819286256643888,0.6419399077421768,28.81523498838367,1.2989421770089002
ED,C,4,0.7285956006768189,0.5730636145861059,26.20014599011063,4.125818034900702,0.9564181137214846,0.9164763458401304,3.319219381716997,0.14573099936103096,0.8960959739731599,0.8117517038128569,16.150893864981597,0.5080004226204066
ES,C,4,0.8798565451285116,0.7854855923159018,7.993738933224297,0.6210283605441177,0.9359634076615208,0.8796346050510478,3.319219328405044,0.32010608351307845,0.8773717498243149,0.7815336463223788,4.694085216905014,0.4412850128300678
ED,D,5,0.859925483845396,0.7542712968849332,49.32741508115849,2.1656966093029064,0.9029164341373679,0.8230151851991409,20.0,2.8782522735564284,0.7883515663848831,0.6506438208587698,27.488997887149356,1.5837409733500547
ES,C,4,0.8310471729675477,0.7109330280480824,10.0,0.96939464746738,0.8569655600372323,0.7497285559174809,9.388172469463667,0.9348641286285364,0.8797765646819855,0.7853581142339076,10.0,0.6423442704736679
ED,C,4,0.8306718061674009,0.7103838003296444,19.134087166123773,1.9369162582245107,0.8976081698468154,0.8142369575816675,10.241230877794804,2.182027072515748,0.8258733624454149,0.7033937703393771,16.00781133827666,1.0188683038580728
ED,A,6,0.9235245220282626,0.857915057915058,10.138280297039307,0.25696461617490685,0.895800933125972,0.8112676056338028,11.514785252604327,1.88325188861623,0.7751896712365234,0.6329058900239078,20.63741248645143,1.6846396661782337
ED,D,5,0.939907315961407,0.8866274903253547,6.749617338608163,0.3093658228382549,0.9405785185738844,0.8878227740934105,4.7727001905441275,0.4892413156042611,0.8459977452085682,0.7330988667448222,10.493991235386297,0.5149933852293178
